,genus,date,Weighted_avg_O2_consumed_per_cell,proteorhodopsin_transcripts_per_cell,spherical cell volume (µm3),rhodopsin_transcripts_per_µm3,O2_fraction
3,AAA536-G10,20181030,0.003446755158977855,0.3393668782627199,0.08711374629016701,3.8956753981435193,low
4,AAA536-G10,20190402,0.0045425625616639905,1.6977486142177092,0.08711374629016701,19.488871579035088,low
5,AAA536-G10,20190709,0.002253796421052631,0.6772221117583961,0.08711374629016701,7.77399825628711,below_detection
6,AG-337-I02,20181030,0.010499640443881374,0.2740576305012757,0.03478273211284194,7.87912891983814,mid
7,AG-337-I02,20190402,0.002369015295454545,0.0963556774042454,0.03478273211284194,2.7702158959695535,below_detection
8,AG-337-I02,20190709,0.002253796421052631,0.35726704382759417,0.03478273211284194,10.271391064639502,below_detection
10,ASP10-02a,20190402,1.1784311837250503,0.6601941654246765,0.08475944984553617,7.789033159462459,high
11,ASP10-02a,20190709,0.002253796421052631,0.5538463952605595,0.08475944984553617,6.534332116004498,below_detection
14,Amylibacter,20181030,0.032508408941201015,0.11417669849695032,0.08244795760081053,1.384833558276377,mid
15,Amylibacter,20190402,0.05141202322149738,0.27807654288503625,0.08244795760081053,3.37275235162772,mid
16,Amylibacter,20190709,0.06248264741556037,0.09536682638699928,0.08244795760081053,1.1566911923851193,mid
17,Aquiluna,20190402,0.002369015295454545,0.1498571308401993,0.01881656919867607,7.964104893826406,below_detection
18,Aquiluna,20190709,0.00486973751452566,0.15166813267082355,0.01881656919867607,8.060349953778763,low
19,Arctic95D-9,20181030,0.0023115178181818178,0.662655703876877,0.22984729611703886,2.8830258831474396,below_detection
20,Arctic95D-9,20190402,0.002369015295454545,5.140108363063599,0.22984729611703886,22.3631447917762,below_detection
21,Arctic95D-9,20190709,0.002253796421052631,0.6289287204169948,0.22984729611703886,2.7362894018850783,below_detection
22,Ascidiaceihabitans,20190402,0.002369015295454545,0.08312410422312523,0.19543219579451385,0.4253347504242629,below_detection
23,Ascidiaceihabitans,20190709,0.002253796421052631,0.4775940159754302,0.19543219579451385,2.443783707355946,below_detection
24,BACL14,20181030,0.003174852738209081,0.25190258982268704,0.02873091201462985,8.767650316649107,low
25,BACL14,20190402,0.002369015295454545,0.42779410947585617,0.02873091201462985,14.889680816885393,below_detection
26,BACL14,20190709,0.002253796421052631,0.3230895621827081,0.02873091201462985,11.245363948704105,below_detection
27,CPC320,20181030,0.0023115178181818178,0.1950957751782733,1.1240037319903369,0.17357217740977265,below_detection
28,CPC320,20190402,0.002369015295454545,0.2865928877985862,1.1240037319903369,0.25497503223685924,below_detection
29,CPC320,20190709,0.002253796421052631,0.1287173813929386,1.1240037319903369,0.11451686300454844,below_detection
30,D2472,20181030,0.003716534896670116,0.191913713900744,0.024429024474314227,7.855971248566666,low
31,D2472,20190402,0.0049827381451711325,0.0810551687893481,0.024429024474314227,3.317986310692559,low
32,D2472,20190709,0.0037535175291511336,0.13318154869661658,0.024429024474314227,5.451775155272763,low
36,GCA-002733185,20190402,0.0834569960323915,0.014025766024898207,0.08244795760081053,0.17011659758519382,mid
37,GCA-2683775,20181030,0.0023115178181818178,0.07344400517827544,0.02873091201462985,2.556271278157741,below_detection
38,GCA-2683775,20190402,0.002369015295454545,0.19599154415525769,0.02873091201462985,6.821626269832935,below_detection
39,GCA-2683775,20190709,0.002253796421052631,1.725302621236716,0.02873091201462985,60.050395210503154,below_detection
40,GCA-2698665,20181030,0.0023115178181818178,0.3969216936958487,0.01715728467880506,23.134295497595765,below_detection
41,GCA-2698665,20190402,0.002369015295454545,0.44502111896906427,0.01715728467880506,25.937735912187378,below_detection
42,GCA-2698665,20190709,0.002253796421052631,0.7275402685750487,0.01715728467880506,42.404161392379436,below_detection
43,GCA-2705205,20181030,0.0023115178181818178,0.04231301085801264,0.04309892056597582,0.9817649793163588,below_detection
44,GCA-2705205,20190402,0.002369015295454545,0.1138711469895077,0.04309892056597582,2.64208814267619,below_detection
45,GCA-2705205,20190709,0.002253796421052631,0.06556964308856532,0.04309892056597582,1.5213755293056892,below_detection
46,GCA-2705445,20181030,0.0023115178181818178,0.7904178886916275,0.010305994700101316,76.69496362964917,below_detection
47,GCA-2705445,20190402,0.002369015295454545,1.2913027923869034,0.010305994700101316,125.296279491994,below_detection
48,GCA-2705445,20190709,0.002253796421052631,1.194658274637196,0.010305994700101316,115.91877440277081,below_detection
49,GCA-2707915,20181030,0.0023115178181818178,0.2875030797254509,0.017974164218585352,15.99535178543499,below_detection
50,GCA-2707915,20190402,0.002369015295454545,0.1971637373857634,0.017974164218585352,10.969285413665876,below_detection
51,GCA-2707915,20190709,0.002253796421052631,0.24736366171359675,0.017974164218585352,13.762178797600047,below_detection
52,HC6-5,20190402,0.048484295610025416,0.07310889608134848,0.13092430304202785,0.5584058450773641,mid
53,HIMB59,20181030,0.0023115178181818178,1.2957923583382416,0.027611654181941538,46.929182503875865,below_detection
54,HIMB59,20190402,0.002369015295454545,1.2080697040695951,0.027611654181941538,43.75216696939845,below_detection
55,HIMB59,20190709,0.002253796421052631,1.6778261267766237,0.027611654181941538,60.76514343258539,below_detection
56,HTCC2207,20181030,0.0023115178181818178,0.1916750197315729,0.06544984694978735,2.9285785783215745,below_detection
57,HTCC2207,20190402,0.003703423419557514,0.1277502046781803,0.06544984694978735,1.9518793493312419,low
58,HTCC2207,20190709,0.0039555255615671405,0.2732910213430025,0.06544984694978735,4.175579227139666,low
59,Hel1-33-131,20190402,0.002369015295454545,0.05973542157748232,0.05790583579096705,1.031595879094464,below_detection
