,iRep,SAG,GTDB_classification,date,gRodon_Average_doubling_time,avg_fmol_O2_consumed
0,2.022343911936964,AH-224-E07,Arctic95D-9,20181030,5.156859175666667,0.0020498313547055113
1,1.9481086055805052,AH-269-D22,SCGC-AAA160-P02,20181030,4.910310539055557,0.01197455851159873
2,2.054046172172554,AH-273-E23,UBA9320,20181030,4.710426123571429,0.0020498313547055113
3,1.8482822223212827,AH-273-K03,MGIIb-O2,20181030,8.065255788153847,0.002744019477959148
4,2.896682102740315,AH-545-P14,UBA868,20181030,13.54781141,0.0020498313547055113
5,2.460319122179138,AH-548-P01,SW10,20181030,4.3866464608541635,0.0020498313547055113
6,2.4174886913460294,AH-700-J10,Hellea,20181030,9.196135013625,0.0049430972460626395
7,2.641977961874068,AH-135-C08,SGZJ01,20190402,6.141802582500001,0.00210065602053928
8,1.8043546123094814,AH-135-C19,Polaribacter,20190402,4.4303419148292695,0.02540002458743491
9,2.2390913606477443,AH-135-M15,UBA4441,20190402,5.232848261222222,0.00210065602053928
10,3.927538045056432,AH-141-C18,IMCC9063,20190402,10.579756911666667,0.00210065602053928
11,2.2314555123275532,AH-578-J18,UBA10364,20190402,2.374693909869565,0.005157960207745928
12,1.923094730803538,AH-657-M18,UBA4582,20190402,10.22933959709524,0.00650218608143565
13,1.8678158751241782,AH-660-K10,SHAN690,20190402,5.8140038121666695,0.00210065602053928
14,2.358130763464432,AH-135-M15,UBA4441,20190709,5.232848261222222,0.0019987981496087256
15,3.8324914228693387,AH-141-C18,IMCC9063,20190709,10.579756911666667,0.0019987981496087256
16,2.105115353911149,AH-269-D22,SCGC-AAA160-P02,20190709,4.910310539055557,0.00420593675757351
17,1.9165037132634373,AH-273-C13,HTCC2207,20190709,6.3213347006341465,0.003506586929149286
18,2.956710389784997,AH-578-J18,UBA10364,20190709,2.374693909869565,0.0019987981496087256
19,2.7011743405271282,AH-657-K03,Flavobacteriales,20190709,5.456188676333333,0.0019987981496087256
20,2.0488343740841373,AH-700-J10,Hellea,20190709,9.196135013625,0.002547484406664603
21,2.0120953806640274,AH-709-O07,Hel1-33-131,20190709,4.716259818499999,0.005265950487049293
