,Mean AAI,O2_ratio,divergence,AAI_round,log_O2_ratio
82,41.25,1.2543141354136351,Different Class,41.0,0.09840631655178804
83,64.05,1.1869395331031345,Same Family,64.0,0.07442859502153724
84,42.04,1.5581257278807297,Different Class,42.0,0.1926024987292032
85,52.88,1.2402928668482518,Same Order,53.0,0.09352424599964204
86,38.71,1.484825472232134,Different Class,39.0,0.17167540927549313
87,41.48,1.475908036376104,Different Class,41.0,0.16905929750147133
88,42.23,1.3213706776621548,Different Class,42.0,0.1210246652157404
89,41.61,1.4516373638346205,Different Class,42.0,0.16185813802008933
90,42.58,1.0897690582690622,Different Class,43.0,0.03733447285256923
91,41.27,1.4831039805133353,Different Class,41.0,0.17117160050923785
92,40.59,1.5283557817644142,Different Class,41.0,0.18422446423391114
93,41.46,1.5673154187302119,Different Class,41.0,0.19515640605963755
94,40.72,1.1532168058729055,Different Class,41.0,0.06191096275249008
95,41.48,79.72194120458622,Different Class,41.0,1.9015778650933761
96,41.91,1.2107892867445964,Different Class,42.0,0.0830685695951656
97,42.36,1.4316103511423257,Different Class,42.0,0.15582482986028398
98,57.3,1.5635700108438295,Same Family,57.0,0.19411733210432447
99,39.86,1.3929393066725282,Different Class,40.0,0.1439321937021723
100,73.77,1.7167434307590903,Same Genus,74.0,0.2347053942106811
101,57.47,1.9172863514656464,Same Family,57.0,0.2826869806788719
102,43.45,1.5666335198761268,Different Class,43.0,0.19496741452211075
103,41.25,1.5348378393284672,Different Class,41.0,0.18606249759493845
104,39.81,1.2974094869896398,Different Class,40.0,0.11307706927802685
105,42.46,1.4132286414688977,Different Class,42.0,0.1502124305642854
106,41.96,1.891992487431019,Different Class,42.0,0.27691940760819944
107,40.87,1.4549979526157004,Different Class,41.0,0.1628623822096723
108,57.96,3.8357229459493456,Same Family,58.0,0.5838472305656888
109,40.07,1.3109319395722077,Different Class,40.0,0.117580144752243
110,40.2,1.5007421537870922,Different Class,40.0,0.1763060814459508
111,42.0,1.0690418963832051,Different Class,42.0,0.028994725799507223
112,98.45,1.1567649469679715,Same Genus,98.0,0.06324511988040434
113,42.4,1.4856780238450211,Different Class,42.0,0.17192469931785126
114,42.54,1.3330175526049457,Different Class,43.0,0.12483586805548152
115,41.14,1.3650859101909123,Different Class,41.0,0.13515998408577531
116,41.29,1.4917221748013587,Different Class,41.0,0.17368794566617282
117,41.77,1.300130997735315,Different Class,42.0,0.1139871128663523
118,58.29,1.1272917915459095,Same Family,58.0,0.052036344667314834
119,41.31,1.5401329506405903,Different Class,41.0,0.18755821254901894
120,38.34,1.053399151634999,Different Class,38.0,0.02259296425842149
121,52.06,1.088235914097026,Same Order,52.0,0.03672305444691777
122,41.37,1.3711953093766405,Different Class,41.0,0.13709931893492364
123,41.94,1.7013612341369322,Different Class,42.0,0.2307965330931816
124,58.98,1.3266925361577648,Same Family,59.0,0.12277028584726367
125,44.94,1.557970701287232,Different Class,45.0,0.1925592862062982
126,40.38,1.5007578906553358,Different Class,40.0,0.176310635458904
127,39.49,1.1320212424846678,Different Class,39.0,0.05385457650535694
128,57.69,2.2897724372202832,Same Family,58.0,0.3597923233135592
129,40.71,1.5060899268169072,Different Class,41.0,0.1778509038397014
130,41.49,16.227881667486376,Different Class,41.0,1.2102618322005738
131,42.64,7.430560946486447,Different Class,43.0,0.8710216006741649
132,40.48,1.1191214220445445,Different Class,40.0,0.04887720901550325
133,42.67,1.5530331250883356,Different Class,43.0,0.19118071901874112
134,42.25,1.3250270122200258,Different Class,42.0,0.12222473196227775
135,42.06,1.3847396116485844,Different Class,42.0,0.1413681157428094
136,53.14,1.5609246655689537,Same Order,53.0,0.19338194334608105
137,42.6,1.4205219371270184,Different Class,43.0,0.1524479449224875
138,41.39,1.3684467425399167,Different Class,41.0,0.13622790012312014
139,84.09,1.7269043819100354,Same Genus,84.0,0.23726829150001705
140,41.02,1.1691606491049833,Different Class,41.0,0.06787418971297254
141,40.76,1.51803359464469,Different Class,41.0,0.18128138276326164
142,41.47,1.5269371299021737,Different Class,41.0,0.18382115578683034
143,41.89,1.567411961365727,Different Class,42.0,0.19518315666905384
144,41.8,1.2256759974855311,Different Class,42.0,0.08837568135620541
145,41.39,1.5351978576835432,Different Class,41.0,0.18616435568464226
146,44.28,1.13772454978312,Different Class,44.0,0.05603712937959378
147,42.7,1.537095891625858,Different Class,43.0,0.18670096177751166
148,42.07,1.2508359262185331,Different Class,42.0,0.09720034645512653
149,39.81,1.4171831847783911,Different Class,40.0,0.15142599068253326
150,41.72,1.5493270523539495,Different Class,42.0,0.19014310403424492
151,41.83,1.0726413625484208,Different Class,42.0,0.030454539951478638
152,52.4,1.110438700981225,Same Order,52.0,0.04549458939472925
153,57.07,1.490299123932067,Same Family,57.0,0.17327344615392762
154,42.18,1.0496461403815454,Different Class,42.0,0.02104291318313305
155,41.8,2.631221757566071,Different Class,42.0,0.4201574516694206
156,40.75,1.2465174584527354,Different Class,41.0,0.09569836551655808
157,41.29,2.5744488135427246,Different Class,41.0,0.4106842613926436
158,39.73,1.1833149222552335,Different Class,40.0,0.07310034124374654
159,41.5,1.7086517604471898,Different Class,42.0,0.2326535583748935
160,39.67,65.1030119715375,Different Class,40.0,1.8136010815383743
161,42.4,1.5678630391325974,Different Class,42.0,0.19530812215781107
162,43.31,1.512047105141913,Different Class,43.0,0.17956532104914294
163,41.81,38.53750261486043,Different Class,42.0,1.5858835672024705
164,41.58,1.0508698077510177,Different Class,42.0,0.021548914622290725
165,41.19,1.550832125231725,Different Class,41.0,0.19056478876692526
166,41.46,1.4754521269390966,Different Class,41.0,0.16892512278652058
167,42.73,1.0670508681844677,Different Class,43.0,0.028185123496853825
168,42.88,1.5455990506954138,Different Class,43.0,0.18909684232848975
169,57.37,4.213366713265659,Same Family,57.0,0.6246292598903883
170,41.57,1.3728122295598562,Different Class,42.0,0.13761113939063274
171,42.21,1.551032763467001,Different Class,42.0,0.19062097179338655
172,41.61,1.0528347323275018,Different Class,42.0,0.02236020359640797
173,41.19,1.5577251530638576,Different Class,41.0,0.19249083264493752
174,42.34,1.4204960079922373,Different Class,42.0,0.15244001756660747
175,58.63,1.236205226102427,Same Family,59.0,0.09209057525536037
176,41.75,1.3089148035611278,Different Class,42.0,0.11691137951682272
177,40.67,1.0081401858958512,Different Class,41.0,0.0035209266808094728
178,71.76,1.0774929870281065,Same Genus,72.0,0.0324144521924845
179,41.76,41.83581513942207,Different Class,42.0,1.621548235305815
180,41.99,1.3518753308624183,Different Class,42.0,0.1309366430738408
181,41.86,1.8664523234907875,Different Class,42.0,0.2710169008204177
182,40.76,1.0557439070120462,Different Class,41.0,0.023558583671482426
183,73.6,1.0472864559993862,Same Genus,74.0,0.020065487069824976
184,41.29,1.182432887200634,Different Class,41.0,0.07277650032268454
185,39.69,1.5157679594930176,Different Class,40.0,0.1806327226516901
186,41.66,1.2588136038666158,Different Class,42.0,0.09996142764146837
187,41.2,2.1201958898868507,Different Class,41.0,0.3263759882715393
188,43.56,1.5287675064600732,Different Class,44.0,0.1843414433332872
189,42.13,1.5514360157877292,Different Class,42.0,0.1907338691478188
190,41.97,1.1942081824971809,Different Class,42.0,0.077080042562726
191,57.59,2.785150290279008,Same Family,58.0,0.4448486352288832
192,41.83,1.5275023206355176,Different Class,42.0,0.1839818787106208
193,41.33,14.375149912272233,Different Class,41.0,1.157612382456146
194,44.2,3.759267868593489,Different Class,44.0,0.5751032726963117
195,49.93,1.0149226972290568,Same Class,50.0,0.0064329649631670715
196,42.3,4.094316122038181,Different Class,42.0,0.6121813714863727
197,46.89,2.8265075103632964,Different Class,47.0,0.4512501437692502
198,49.74,2.7649410301440054,Same Class,50.0,0.4416858732334261
199,43.91,11.471135172085715,Different Class,44.0,1.059606397376306
200,44.09,15.79963883494191,Different Class,44.0,1.1986471594997063
201,45.4,1.3152002682264654,Different Class,45.0,0.11899188876749432
202,43.98,1.2107627187705343,Different Class,44.0,0.08305903990139507
203,44.18,303.02528946941806,Different Class,44.0,2.481478874768644
204,45.16,1.2790399737419604,Different Class,45.0,0.1068841176641663
205,44.15,7.4063265584622515,Different Class,44.0,0.8696028569723384
206,46.23,1.045782007576111,Different Class,46.0,0.0194411656274772
207,48.96,220.0462708192885,Same Class,49.0,2.342514012861116
208,44.57,10.382076886968642,Different Class,45.0,1.0162842408270307
209,44.61,21.15192606992614,Different Class,45.0,1.3253499198649619
210,44.04,1.2326640079445796,Different Class,44.0,0.09084471537857844
211,51.19,1.210903794329914,Same Class,51.0,0.08310964004531071
212,48.72,1.0478713009728011,Same Class,49.0,0.02030794609275516
213,44.74,1.3901522828848982,Different Class,45.0,0.1430623772282579
214,42.37,32.75181658909697,Different Class,42.0,1.51523539326646
215,48.79,1.0275941596706002,Same Class,49.0,0.011821627289483045
216,50.2,1.0160496517640096,Same Class,50.0,0.006914931333964582
217,44.67,1.1760410936912329,Different Class,45.0,0.07042249729414643
218,47.01,13.61250363667602,Different Class,47.0,1.13393800878867
219,48.55,1.009071286848015,Same Class,49.0,0.0039218484877703505
220,44.27,2.7219764945092053,Different Class,44.0,0.4348843705554044
221,50.25,1.0242677556797617,Same Class,50.0,0.010413501184521584
222,45.04,1.583718664156207,Different Class,45.0,0.19967803491995592
223,43.97,1.063677105408652,Different Class,44.0,0.026809811585220673
224,42.15,8.59080194697714,Different Class,42.0,0.9340337068918372
225,50.84,6.016279213989151,Same Class,51.0,0.7793279835478255
226,48.09,1.0517648025731512,Same Class,48.0,0.021918633007169088
227,45.43,1.2668438841766598,Different Class,45.0,0.10272309916282137
228,48.71,6.122490573905172,Same Class,49.0,0.786928125163984
229,42.74,4.438828385574039,Different Class,43.0,0.6472683546133465
230,43.6,33.000154203864014,Different Class,44.0,1.5185159692636683
231,49.55,37.157268652781255,Same Class,50.0,1.5700437824846296
232,44.19,3.109719223728652,Different Class,44.0,0.4927211783869381
233,50.32,1.1409531434270557,Same Class,50.0,0.057267809213199926
234,45.72,1.378156601835577,Different Class,46.0,0.1392985698566513
235,43.28,16.055103612145334,Different Class,43.0,1.2056131126454537
236,48.97,16.64332614486717,Same Class,49.0,1.2212401237581274
237,43.27,11.066572147121468,Different Class,43.0,1.0440131196929092
238,43.05,6.537387066418581,Different Class,43.0,0.8154041994883526
239,42.41,11.689706862469913,Different Class,42.0,1.0678036206906714
240,49.07,41.73258237071746,Same Class,49.0,1.6204752592540803
241,42.7,1.170904886829945,Different Class,43.0,0.06852161855437452
242,44.9,1.0233725308176849,Different Class,45.0,0.010033755537790828
243,48.37,6.481894462602947,Same Class,48.0,0.8117019556251781
244,42.72,7.313715145413938,Different Class,43.0,0.8641380414294273
245,48.66,1.0205411229741128,Same Class,49.0,0.008830509415544054
246,45.52,1.0724759921576097,Different Class,46.0,0.030387579094363425
247,54.62,1.1169258532796302,Same Order,55.0,0.0480243435898015
248,42.99,95.22099418150023,Different Class,43.0,1.978732711535525
249,43.47,11.266272250291207,Different Class,43.0,1.05178024178399
250,43.5,6.8086517237314474,Different Class,44.0,0.8330611197077851
251,50.06,825.0172172939855,Same Class,50.0,2.9164630119411346
252,44.22,1.2789803661702748,Different Class,44.0,0.1068638776066003
253,43.36,1.6164385658136733,Different Class,43.0,0.2085592035129172
254,45.38,1.1648762189013049,Different Class,45.0,0.06627977917818338
255,43.29,153.4942465201635,Same Genus,43.0,2.186092101302625
256,45.49,1.0223218215214365,Different Class,45.0,0.009587630935599223
257,41.81,9.335666801222246,Different Class,42.0,0.9701453429331064
258,49.41,1.0912759661217126,Same Class,49.0,0.03793459055941016
259,43.55,1.2442507377898475,Different Class,44.0,0.09490790693501967
260,44.95,2.935542983274815,Different Class,45.0,0.4676884438560426
261,41.86,14.913045909667867,Different Class,42.0,1.1735663548320896
262,40.92,91.2281200284193,Different Class,41.0,1.960128725289136
263,45.71,1.0242027380956944,Different Class,46.0,0.010385932539444885
264,42.4,6.915114447173053,Different Class,42.0,0.8397993722059104
265,48.02,10.901909383114779,Same Class,48.0,1.0375025678424048
266,45.66,1.3023027568765586,Different Class,46.0,0.11471195992794644
267,48.67,1.0260885100278845,Same Genus,49.0,0.011184824478302728
268,45.34,1.0240709056861603,Different Class,45.0,0.010330027813775605
269,44.81,1.7353341942641178,Different Class,45.0,0.2393831245149815
270,48.38,1.0014662013725633,Same Genus,48.0,0.000636296809741543
271,50.8,16.25019814608457,Same Class,51.0,1.2108586608980618
272,43.26,1.0782274366007014,Different Class,43.0,0.032710378700819685
273,49.25,9.589780706806117,Same Class,49.0,0.981808676105707
