,genus,date,cells_per_ml
112,TMED25,20181030,798.3300862581151
113,TMED80,20181030,6947.4799324485975
114,Tateyamaria,20181030,613.9872714896636
115,Thioglobaceae,20181030,2006.8015963637574
116,Thioglobus,20181030,54850.547571677824
117,Thioglobus_A,20181030,17010.80688725088
118,UA16,20181030,4745.435035022135
119,UBA10066,20181030,1142.2489928968816
120,UBA10347,20181030,2637.5921471155993
121,UBA10364,20181030,33862.032475011954
122,UBA1096,20181030,22.60414454271598
123,UBA11654,20181030,1856.9268079672681
124,UBA12202,20181030,1736.3073145971189
125,UBA1268,20181030,997.1316943538623
126,UBA1494_A,20181030,290.5401585579553
127,UBA1611,20181030,414.0275689730843
128,UBA1994,20181030,3660.774099349784
129,UBA1997,20181030,642.1054635220853
130,UBA2040,20181030,337.9395247284981
131,UBA2970,20181030,175.38961989877444
132,UBA3031,20181030,5276.765666211916
133,UBA3537,20181030,5096.303701352063
134,UBA4421,20181030,3299.7560907271404
135,UBA4441,20181030,3193.690438842843
136,UBA4465,20181030,1088.8681775266432
137,UBA4466,20181030,5466.624042846002
138,UBA4479,20181030,768.5081818754734
139,UBA4575,20181030,889.5642118483839
140,UBA4582,20181030,6632.775675741773
141,UBA4588,20181030,1421.1876002696729
142,UBA5081,20181030,28.974125433015505
143,UBA5109,20181030,941.0675154191152
144,UBA5951,20181030,4660.997576425153
145,UBA6669,20181030,270.90456121021776
146,UBA6770,20181030,441.70846338248435
147,UBA6772,20181030,1058.6294669718493
148,UBA7326,20181030,1961.2436470005869
149,UBA7428,20181030,6197.961827562463
150,UBA7434,20181030,1777.938745618046
151,UBA7446,20181030,1513.3721962714185
152,UBA8337,20181030,1143.3694787942593
153,UBA8649,20181030,1143.4874698051026
154,UBA868,20181030,5202.886714240091
155,UBA8752,20181030,5162.531522615577
156,UBA9145,20181030,5690.032902187384
157,UBA9320,20181030,8128.707187441794
158,UBA952,20181030,11375.261535395992
159,UBA985,20181030,519.3472159083867
160,UBA9926,20181030,9123.063260001229
161,Ulvibacter,20181030,556.4625438978336
162,Unclassified,20181030,194593.42357841926
163,Verrucomicrobiales,20181030,397.48210637536164
164,Vibrio,20181030,620.6611229756818
165,Vicingaceae,20181030,470.1552119228901
166,Winogradskyella,20181030,2001.1926081813085
167,Yoonia,20181030,494.1732484788985
168,AAA164-E04,20190402,369.3427723033388
169,AAA536-G10,20190402,14403.280556625608
170,AG-337-I02,20190402,1075.3392378250744
171,AG-414-E02,20190402,401.15794982379083
172,AG-422-B15,20190402,13707.625914808166
173,ASP10-02a,20190402,20089.12817499473
174,Akkermansiaceae,20190402,1519.5305049738993
175,Algibacter_B,20190402,7196.501066750457
176,Aliiglaciecola,20190402,866.3509196123905
177,Amylibacter,20190402,63716.88807647875
178,Aquiluna,20190402,8297.105926349832
179,Arcobacteraceae,20190402,412.28509032322853
180,Arctic95D-9,20190402,201.5814324938541
181,Arenitalea,20190402,377.6122648961824
182,Ascidiaceihabitans,20190402,13711.611792418154
183,BACL11,20190402,1783.1978921120374
184,BACL14,20190402,51105.8312946076
185,CAU-1491,20190402,382.9682263230847
186,CPC320,20190402,1807.7043274852533
187,D2472,20190402,65194.695842696805
188,DEV007,20190402,182.4631431406729
189,Draconibacterium,20190402,314.3683910019744
190,EC70,20190402,234.2765534924638
191,Flavobacteriaceae,20190402,1514.9273568848846
192,Flavobacteriales,20190402,26545.429480478662
193,GCA-002712045,20190402,2983.1102936325765
194,GCA-002715885,20190402,2855.8425087128508
195,GCA-002716945,20190402,411.06341925478415
196,GCA-002724395,20190402,333.2913600931149
197,GCA-002733185,20190402,14774.956393264372
